paper_id,annotation_type,extracted_value,golden_value,has_golden,match_score,match_type,tier1_exact,tier2_normalized,tier3_ontology,tier4_hierarchical,tier5_semantic,any_match,no_match,type_mismatch,correct_type,value_correct,value_complete,hallucination,issue_summary,corrected_value
PMC10681723,GeneticModification,Spt16-TAP,Spt16-ΔN; Spt16-TAP tag,True,0.7,HIERARCHICAL,False,False,False,True,False,True,False,False,,True,False,False,Tier 4 -- hierarchical match with GT 'Spt16-TAP tag'; predicted is less specific than GT (subset -- incomplete).,
PMC10681723,GeneticModification,Flag-tagged,Spt16-ΔN; Spt16-TAP tag,True,0.0,NO_MATCH,False,False,False,False,False,False,True,False,,False,False,False,"GEval=0.20. The extracted value ""Flag-tagged"" matches the annotation type GeneticModification per the provided definition (tagging constructs like ""Flag-tagged"" are valid), so there is no type mismatch. It is also supported by the context, which explicitly contains ""Flag-tagged protein purification."" However, it is not semantically equivalent to either expected GeneticModification ground-truth value (""Spt16-ΔN"" or ""Spt16-TAP tag""); ""Flag-tagged"" is a generic tag mention and does not identify the specific Spt16 modifications required. Thus the extraction is context-grounded but incorrect relative to the expected outputs and incomplete in specificity.",
PMC10681723,GeneticModification,GFP-tagged,Spt16-ΔN; Spt16-TAP tag,True,0.0,NO_MATCH,False,False,False,False,False,False,True,False,,False,False,False,"GEval=0.20. The extracted value “GFP-tagged” matches the declared annotation type GeneticModification (tagging construct) per the provided type definition, so there is no type mismatch. It is also explicitly supported by context[0] (e.g., “GFP nanobody-based purification” / “To purify GFP-tagged proteins”), so it is not a hallucination. However, it is not semantically equivalent to any expected GeneticModification ground-truth value (“Spt16-ΔN” or “Spt16-TAP tag”); GFP-tagging is a different modification than the Spt16 N-terminal deletion or the TAP tag on Spt16. Completeness is not the main issue here—the core problem is that the extracted modification does not match the expected specific genetic modifications.",
PMC10681723,Genotype,isogenic W303-1 background,,False,0.6,SEMANTIC,False,False,False,False,True,True,False,False,,True,True,False,"GEval=1.00. The annotation type Genotype matches the provided type definition (“Genotypic background”), and the extracted value “isogenic W303-1 background” is a genotypic/strain background description consistent with that type (no type mismatch, so no need to state a 'Correct type'). The value is explicitly present in context[0] (“The budding yeast strains used in this study were in the isogenic W303-1 background”), so it is not a hallucination. Because there is no ground truth expected output, correctness is evaluated against the source text only, and the extracted phrase is semantically identical to the source wording. The extraction is also complete/appropriately specific (includes both 'isogenic' and the 'W303-1 background' qualifier).",
PMC10681723,MaterialType,cells,cells,True,1.0,EXACT,True,False,False,False,False,True,False,False,,True,True,False,Tier 1 -- exact match with GT 'cells'.,
PMC10681723,Organism,S. cerevisiae,Saccharomyces cerevisiae,True,0.7,HIERARCHICAL,False,False,False,True,False,True,False,False,,True,False,False,Tier 4 -- hierarchical match with GT 'Saccharomyces cerevisiae'; predicted is less specific than GT (subset -- incomplete).,
PMC10681723,Organism,Escherichia coli,Saccharomyces cerevisiae,True,0.0,NO_MATCH,False,False,False,False,False,False,True,False,,False,False,False,"GEval=0.20. The annotation type is correct (Organism matches the provided type definition: source species), so there is no type mismatch. The extracted value “Escherichia coli” is explicitly present in context[0] (e.g., recombinant histones expressed in a BL21(DE3) CodonPlus RIL strain of E. coli), so it is not a hallucination. However, it is not semantically equivalent to the expected ground-truth organism “Saccharomyces cerevisiae,” which is the primary study system repeatedly described in the abstract/methods (budding yeast, S. cerevisiae reference genome). Thus the extraction selects a secondary expression host rather than the intended source organism, making it largely incorrect despite being text-supported.",
PMC10681723,Staining,coomassie brilliant blue (CBB) staining,,False,0.6,SEMANTIC,False,False,False,False,True,True,False,False,,True,True,False,"GEval=1.00. The annotation type is Staining, which matches the provided type definition (“Staining applied to sample prior to MS.”), and the extracted value (“coomassie brilliant blue (CBB) staining”) is explicitly present in the source text (“visualized by coomassie brilliant blue (CBB) staining”), so it is not hallucinated. There is no type mismatch to correct because the value describes a staining method rather than a compound dose or another entity type. With no ground-truth list, semantic assessment is against the text only, and the extracted phrase is an exact match (including the common abbreviation CBB), making it complete and accurately captured.",
PMC10681723,Strain,W303-1,,False,0.0,NO_MATCH,False,False,False,False,False,False,True,True,Genotype,True,False,False,"GEval=0.60. The extracted value “W303-1” is explicitly present in the source text (“isogenic W303-1 background”), so it is not a hallucination. However, the annotation type is likely mismatched to the provided schema: context defines Strain as an animal strain (e.g., BALB/c), while W303-1 is a Saccharomyces cerevisiae (yeast) strain/background; Correct type: Genotype. There is no ground-truth list to compare against beyond the source text, and the value itself is complete and specific as a strain/background identifier.",
PMC10681723,Strain,BL21(DE3) CodonPlus RIL,,False,0.0,NO_MATCH,False,False,False,False,False,False,True,False,,False,False,True,"GEval=0.00. No response was provided to evaluate against the specified steps. As a result, the required checks (type mismatch against the Strain definition, verifying the extracted value appears in context[0], and assessing equivalence/completeness given there is no ground truth) were not performed or reported.",
PMC10681723,AcquisitionMethod,MISSING,affinity purification-mass spectrometry (AP-MS),True,0.0,NO_MATCH,False,False,False,False,False,False,True,False,,False,False,False,Not extracted -- present in source text or ground truth.,affinity purification-mass spectrometry (AP-MS)
PMC10681723,Bait,MISSING,Spt16; Spt16-ΔN,True,0.0,NO_MATCH,False,False,False,False,False,False,True,False,,False,False,False,Not extracted -- present in source text or ground truth.,Spt16; Spt16-ΔN
PMC10681723,EnrichmentMethod,MISSING,tandem affinity purification (TAP),True,0.0,NO_MATCH,False,False,False,False,False,False,True,False,,False,False,False,Not extracted -- present in source text or ground truth.,tandem affinity purification (TAP)
PMC10681723,NumberOfBiologicalReplicates,MISSING,n = 3,True,0.0,NO_MATCH,False,False,False,False,False,False,True,False,,False,False,False,Not extracted -- present in source text or ground truth.,n = 3
PMC4746666,AcquisitionMethod,A data dependent mass spectrometric method,data dependent; data dependent mass spectrometric method,True,0.7,HIERARCHICAL,False,False,False,True,False,True,False,False,,True,True,False,Tier 4 -- hierarchical match with GT 'data dependent'; predicted is more detailed than GT (superset -- complete).,
PMC4746666,Age,40y,40y; 39y; 27y; 20y,True,1.0,EXACT,True,False,False,False,False,True,False,False,,True,True,False,Tier 1 -- exact match with GT '40y'.,
PMC4746666,Age,39y,40y; 39y; 27y; 20y,True,1.0,EXACT,True,False,False,False,False,True,False,False,,True,True,False,Tier 1 -- exact match with GT '39y'.,
PMC4746666,Age,27y,40y; 39y; 27y; 20y,True,1.0,EXACT,True,False,False,False,False,True,False,False,,True,True,False,Tier 1 -- exact match with GT '27y'.,
PMC4746666,Age,20y,40y; 39y; 27y; 20y,True,1.0,EXACT,True,False,False,False,False,True,False,False,,True,True,False,Tier 1 -- exact match with GT '20y'.,
PMC4746666,AlkylationReagent,iodoacetamide,iodoacetamide,True,1.0,EXACT,True,False,False,False,False,True,False,False,,True,True,False,Tier 1 -- exact match with GT 'iodoacetamide'.,
PMC4746666,CellLine,human embryonic stem cell line (hESC) ES04 (WiCell institute),hESC ES04 (WiCell institute),True,0.7,HIERARCHICAL,False,False,False,True,False,True,False,False,,True,True,False,Tier 4 -- hierarchical match with GT 'hESC ES04 (WiCell institute)'; predicted is more detailed than GT (superset -- complete).,
PMC4746666,CellPart,cytosolic (CYT),cytosolic (CYT); nuclear (NUC); chromatin-bound (CH),True,1.0,EXACT,True,False,False,False,False,True,False,False,,True,True,False,Tier 1 -- exact match with GT 'cytosolic (CYT)'.,
PMC4746666,CellPart,nuclear (NUC),cytosolic (CYT); nuclear (NUC); chromatin-bound (CH),True,1.0,EXACT,True,False,False,False,False,True,False,False,,True,True,False,Tier 1 -- exact match with GT 'nuclear (NUC)'.,
PMC4746666,CellPart,chromatin-bound (CH),cytosolic (CYT); nuclear (NUC); chromatin-bound (CH),True,1.0,EXACT,True,False,False,False,False,True,False,False,,True,True,False,Tier 1 -- exact match with GT 'chromatin-bound (CH)'.,
PMC4746666,CellType,Mesenchymal stem cells (MSC),mesenchymal stem cells (MSC); embryonic stem cells (ESC); bone marrow-derived MSC (BM-MSC),True,0.9,NORMALIZED,False,True,False,False,False,True,False,False,,True,True,False,Tier 2 -- normalized match with GT 'mesenchymal stem cells (MSC)'.,
PMC4746666,CellType,ESC-derived MSC,mesenchymal stem cells (MSC); embryonic stem cells (ESC); bone marrow-derived MSC (BM-MSC),True,0.65,HIERARCHICAL,False,False,False,True,False,True,False,False,,True,False,False,Tier 4 -- hierarchical match with GT 'bone marrow-derived MSC (BM-MSC)'; predicted is less specific than GT (subset -- incomplete).,
