paper_id,annotation_type,extracted_value,golden_value,has_golden,verdict,match_type,any_match,no_match,type_mismatch,correct_type,value_correct,value_complete,hallucination,issue_summary,corrected_value
PMC10681723,Bait,Spt16,Spt16; Spt16-ΔN,True,high,CORRECT,True,False,False,,True,True,False,Exact match with ground truth -- LLM skipped.,
PMC10681723,Bait,Mcm2HBD,Spt16; Spt16-ΔN,True,low,NO_MATCH,False,True,False,,False,False,False,"TYPE CHECK:        “Mcm2HBD” names a specific protein construct/domain used in a GST pull-down, so it fits the Bait definition (an affinity handle molecule in a pull-down).
SOURCE CHECK:      “Mcm2HBD” appears in the paper methods (e.g., “GST-tagged Mcm2HBD (residues 1–200)” and “GST-Mcm2HBD pull-down”).
CORRECTNESS CHECK: It does not match either reference value (“Spt16” or “Spt16-ΔN”); it is a different bait/handle than the expert-annotated baits.
COMPLETENESS CHECK: The paper specifies “GST-tagged Mcm2HBD”; reporting only “Mcm2HBD” omits the tag/format used as the immobilized bait, but the construct is still largely identifiable.
HALLUCINATED: no
VERDICT: low",
PMC10681723,CellType,budding yeast,,False,low,TYPE_MISMATCH,False,True,True,Organism,False,False,False,"TYPE CHECK:        “budding yeast” refers to the organism/species used (Saccharomyces cerevisiae), not a primary cell type/lineage — Correct type: Organism.  
SOURCE CHECK:      The paper explicitly mentions “budding yeast” in the abstract and methods (e.g., “budding yeast strains”).  
CORRECTNESS CHECK: No reference values are provided; however, as a CellType annotation this is not correct because it denotes an organism rather than a cell type.  
COMPLETENESS CHECK: The term is sufficiently specific to identify the organism at a common-name level, but completeness is not applicable for CellType given the type mismatch.  
HALLUCINATED: no  
VERDICT: low",
PMC10681723,EnrichmentMethod,Tandem affinity purification,tandem affinity purification (TAP),True,high,CORRECT,True,False,False,,True,True,False,"TYPE CHECK:        “Tandem affinity purification” is an affinity-based protein enrichment/purification workflow, which fits the definition of an EnrichmentMethod.  
SOURCE CHECK:      “Tandem affinity purification” appears explicitly as a Methods subsection title and is described in the paper text.  
CORRECTNESS CHECK: It matches the reference value “tandem affinity purification (TAP)” (same method; reference just includes the common abbreviation).  
COMPLETENESS CHECK: The value is complete and unambiguous as an enrichment/purification method (TAP).  
HALLUCINATED: no  
VERDICT: high",
PMC10681723,EnrichmentMethod,Flag-tagged protein purification,tandem affinity purification (TAP),True,low,NO_MATCH,False,True,False,,False,False,False,"TYPE CHECK:        “Flag-tagged protein purification” describes an affinity purification/enrichment procedure for a tagged protein, so it can fit the EnrichmentMethod category (even though the paper uses it for biochemical pull-downs rather than explicitly “before MS”).  
SOURCE CHECK:      The methods section contains a subsection titled “Flag-tagged protein purification,” so the value is present in the paper text.  
CORRECTNESS CHECK: It does not match the reference value “tandem affinity purification (TAP)”—Flag-based affinity purification is a different enrichment/purification approach than TAP.  
COMPLETENESS CHECK:The value is complete as a method name; no critical qualifier is missing for identifying the procedure at a high level.  
HALLUCINATED: no  
VERDICT: low",
PMC10681723,EnrichmentMethod,GFP nanobody-based purification,tandem affinity purification (TAP),True,low,NO_MATCH,False,True,False,,False,False,False,"TYPE CHECK:        “GFP nanobody-based purification” describes an affinity-based protein enrichment/purification workflow prior to downstream analysis, which fits the EnrichmentMethod definition.
SOURCE CHECK:      “GFP nanobody-based purification” appears explicitly as a section heading in the provided Methods text.
CORRECTNESS CHECK: The extracted value does not match the reference value “tandem affinity purification (TAP)”; it is a different enrichment/purification method.
COMPLETENESS CHECK: The value is complete and specific (it clearly identifies the enrichment approach).
HALLUCINATED: no
VERDICT: low",
PMC10681723,GeneticModification,Spt16-TAP,Spt16-ΔN; Spt16-TAP tag,True,high,CORRECT,True,False,False,,True,True,False,"TYPE CHECK:        “Spt16-TAP” denotes a TAP-tagged version of the Spt16 protein (a tagging construct), which fits the GeneticModification definition.  
SOURCE CHECK:      “Spt16-TAP” appears explicitly in the methods (e.g., “For Spt16-TAP ChIP …” and “Spt16-TAP was purified …”).  
CORRECTNESS CHECK: It matches the reference value “Spt16-TAP tag” (same tagged construct).  
COMPLETENESS CHECK:“Spt16-TAP” is a complete, unambiguous identifier for the tagging modification (Spt16 fused to a TAP tag).  
HALLUCINATED: no  
VERDICT: high",
PMC10681723,GeneticModification,Flag-tagged,Spt16-ΔN; Spt16-TAP tag,True,medium,PARTIAL,True,False,False,,True,False,False,"TYPE CHECK:        “Flag-tagged” describes a tagging construct (FLAG epitope tag) and therefore fits the GeneticModification definition.  
SOURCE CHECK:      The paper explicitly mentions “Flag-tagged protein purification” and “Flag tag” antibody, supporting the presence of FLAG-tagged constructs.  
CORRECTNESS CHECK: It does not match either reference value (“Spt16-ΔN” or “Spt16-TAP tag”) and refers to a different genetic modification than those references.  
COMPLETENESS CHECK: The value is incomplete because it does not specify *which protein* is FLAG-tagged (e.g., “Flag-<protein>”), which is typically needed to identify the actual genetic construct.  
HALLUCINATED: no  
VERDICT: medium",
PMC10681723,GeneticModification,GFP-tagged,Spt16-ΔN; Spt16-TAP tag,True,low,NO_MATCH,False,True,False,,False,False,False,"TYPE CHECK:        “GFP-tagged” describes a tagging genetic construct, which fits the GeneticModification definition (correct type).  
SOURCE CHECK:      The methods explicitly mention “GFP-tagged proteins” in the “GFP nanobody-based purification” section, so it is present in the paper text.  
CORRECTNESS CHECK: It does not match either reference value (“Spt16-ΔN” or “Spt16-TAP tag”) and is not semantically equivalent to them.  
COMPLETENESS CHECK:“GFP-tagged” is incomplete as a genetic modification here because it does not specify which protein/strain is GFP-tagged.  
HALLUCINATED: no  
VERDICT: low",
PMC10681723,GeneticModification,Spt16-ΔN,Spt16-ΔN; Spt16-TAP tag,True,high,CORRECT,True,False,False,,True,True,False,Exact match with ground truth -- LLM skipped.,
PMC10681723,MaterialType,cells,cells,True,high,CORRECT,True,False,False,,True,True,False,Exact match with ground truth -- LLM skipped.,
PMC10681723,Organism,Saccharomyces cerevisiae,Saccharomyces cerevisiae,True,high,CORRECT,True,False,False,,True,True,False,Exact match with ground truth -- LLM skipped.,
PMC10681723,Strain,W303-1,,False,high,CORRECT,True,False,False,,True,True,False,"TYPE CHECK:        “W303-1” is a specific laboratory strain/background identifier (here for budding yeast) and fits the Strain annotation type.  
SOURCE CHECK:      The methods explicitly state “the budding yeast strains used in this study were in the isogenic W303-1 background.”  
CORRECTNESS CHECK: No reference values were provided; “W303-1” is well-supported by the source text as the strain background.  
COMPLETENESS CHECK:“W303-1” is a complete, unambiguous strain designation.  
HALLUCINATED: no  
VERDICT: high",
PMC10681723,Temperature,30°C,,False,high,CORRECT,True,False,False,,True,True,False,"TYPE CHECK:        “30°C” is a temperature value describing a growth/incubation condition, which fits the Temperature annotation type.  
SOURCE CHECK:      “30°C” appears in the paper text (“MATa yeast cells were cultured in YPD medium at 30°C…”).  
CORRECTNESS CHECK: No reference values were provided; the extracted value is consistent with the explicit temperature stated in the methods.  
COMPLETENESS CHECK: The value is complete and unambiguous (numeric temperature with unit).  
HALLUCINATED: no  
VERDICT: high",
